"","Var1","(H)¥©§J¤O®³ÅK","(H)¬c¯ù","(H)¬õ¯ù®³ÅK","(H)­»¯ó®³ÅK","(H)®³ÅK","(H)³ö¿Õ«~¨ý¬õ¯ù","(H)³ö¿Õ¶Â©@°Ø","(H)µJ¿}®³ÅK","(H)ºdªG®³ÅK","(H)»e¿}¥d¥¬","(H)¼¯¥d®³ÅK","(H)¿üÄõ°ª¦a¥¤¯ù","(I)OREO©@°Ø¦B¨F","(I)¤ô»e®ç¦B¯ù","(I)¥V¤è®L«Â¦i¦B¯ù","(I)¥i¼Ö","(I)¥©§J¤O®³ÅK","(I)¥ò®L²ùªGÅÊ±¡","(I)¦a¤¤®ü®³ÅK","(I)¬Ã¯]¥¤¯ù","(I)¬õ¯ù®³ÅK","(I)­»¯ó®³ÅK","(I)­»¿¼©_²§ªG¦B¨F","(I)®³ÅK","(I)³·ºÑ","(I)³ö¿Õ¤ôªG¦B¯ù","(I)³ö¿Õ¦B©@°Ø","(I)³ö¿Õ¦B¬õ¯ù","(I)µJ¿}®³ÅK","(I)ºdªG®³ÅK","(I)¼¯¥d®³ÅK","(I)¿üÄõ¦B¥¤¯ù","(I)Ä«ªG¦B¯ù","100%¦³¾÷¬õ¸²µå¥Ä","100%¦³¾÷µf­X¥Ä","100%¦³¾÷ºî¦X½­ªG¥Ä","11ÂI","12ÂI","13ÂI","15ÂI","16ÂI","17ÂI","18ÂI","19ÂI","20ÂI","21ÂI","TW¬Ã¥¤²¢¬P","¤ôªG¨F©Ô","¥i°é¥iÂI","¥¤ªo¿LÖK¦×¤Y","¦è¦è¨½µf­X¬µÂû¯Í(3°¦)","¦è¯Z¤ú¯M³J","ªk©Ô¿¶®ðªw¤ô330ml","ªá¦³©ÒÁ¦","ª÷¦â­»¾íÁ¡»æ","ª÷µP°à°s","«n¥Ê¿@´ö","¬õ¥]-²¢¦b¬P","­X­»®üÂA¨©´ßÄÑ","­X­»®üÂA¯NÄÑ","­»¿¼OREO²¢¬P","­û-ªQÅS³¥Û£","­û-ªG­»ÂtÂû","­û-ªá¦³©ÒÁ¦","­û-¬Ã¥¤²¢¬P","­û-­X¥Ä®üÂA¨©´ßÄÑ","­û-­X¥Ä®üÂA¯NÄÑ","­û-­»¿¼OREO","­û-³¥µæ®É½­","­û-³ö¿Õ¥ý¥Í","­û-¸g¨å¦Ø²´¤û±Æ¯N¶º","­û-¸g¨åº¿®æ","­û-¸g¨å»¶¨ýÂtÂû","­û-¸q¦¡®üÂAÁ`¶×¯N¶º","­û-¿»­X½­µæ¯NÀn","­û-Ã¹°ÇÂtÂû¯NÄÑ","­û-ÅÚ°ÇÂtÂû¨©´ßÄÑ","®³-¥d¥¬¨½»[­»Á`¶×","®³-¦è¦è¨½»[¨ý®üÂA","®³-ªQÅS³¥Û£","®³-¬üÄR®ü®q","®³-­»»¶¾¥¨Ð","®³-®ü³°Âù»¶","®³-³¥µæ®É½­","®³-³ö¿Õ¥ý¥Í","®³-·ÏÂtÂD³½","®³-¸g¨åº¿®æ","®³-¸g¨å»¶¨ýÂtÂû","®³-¸q¦¡ªG­»ÂtÂû","®³-¸q¦¡µf­X½­µæ¯NÀn","®³-¸q¦¡»[¨ý¦Ï¦×","®³-ºî¦X¨Å¹T","®³-Ã¹§º»ë¤l¤û","¯N»æ(2¤ù)","ÖK¯N­X¥Ä³J­X","³ö¿Õ¨F©Ô","³ö¿Õ«÷½L","´¶§Q¨È®ü´ä¯N¶º","¶p¬µ°s¾LÄ¨Û£","¶p¬µ¾¥¨Ð´Ô","·L»eÄ«ªG","·s«~À|ÂA¨é","¸g¨å¦Ø²´¤û±Æ¯N¶º","¸q¤j§QARMANI®ðªwÄq¬u¤ô330ML","¸q¤j§QPERONI°à°s","¸q¦¡¥d¥¬¨½¶}­G","¸q¦¡®üÂAÁ`¶×¯N¶º","¹q¸Ü","ºî¦X²ùªG²¢¬P","ºûÄ¬®J¤õ¤s½Þ±Æ¯N¶º","»Å¸I°e²¢¦b¬P","Ã¹°¨-¥d¥¬¨½»[­»Á`¶×","Ã¹°¨-¦è¦è¨½»[¨ý®üÂA","Ã¹°¨-ªQÅS³¥Û£","Ã¹°¨-¬üÄR®ü®q","Ã¹°¨-­»»¶¾¥¨Ð","Ã¹°¨-®ü³°Âù»¶","Ã¹°¨-³¥µæ®É½­","Ã¹°¨-³ö¿Õ¥ý¥Í","Ã¹°¨-·ÏÂtÂD³½","Ã¹°¨-¸g¨åº¿®æ","Ã¹°¨-¸g¨å»¶¨ýÂtÂû","Ã¹°¨-¸q¦¡ªG­»ÂtÂû","Ã¹°¨-¸q¦¡µf­X½­µæ¯NÀn","Ã¹°¨-ºî¦X¨Å¹T","Ã¹°ÇÂtÂû¨©´ßÄÑ","Ã¹°ÇÂtÂû¯NÄÑ","Äl¯N®É½­","Äl¯N½­ªGÂû","Ä¨Û£¿@´ö"
"11","2016-03-29 21:00:00",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2016-03-29 22:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2016-03-29 23:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2016-03-30 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2016-03-30 01:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2016-03-30 02:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2016-03-30 03:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2016-03-30 04:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2016-03-30 05:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2016-03-30 06:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2016-03-30 07:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2016-03-30 08:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2016-03-30 09:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","2016-03-30 10:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2016-03-30 11:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","2016-03-30 12:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2016-03-30 13:00:00",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28","2016-03-30 14:00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"29","2016-03-30 15:00:00",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2016-03-30 16:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2016-03-30 17:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2016-03-30 18:00:00",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
